"latitude","longitude","time"
41.222812,-105.305667,2014-07-26 17:39:54+00:00
41.222818,-105.305631,2014-07-26 17:39:56+00:00
41.222803,-105.305598,2014-07-26 17:39:58+00:00
41.222792,-105.305564,2014-07-26 17:40:00+00:00
41.222794,-105.305523,2014-07-26 17:40:02+00:00
41.222808,-105.305484,2014-07-26 17:40:04+00:00
41.222819,-105.30543,2014-07-26 17:40:06+00:00
41.222832,-105.305367,2014-07-26 17:40:08+00:00
41.222873,-105.305276,2014-07-26 17:40:11+00:00
41.222887,-105.305244,2014-07-26 17:40:12+00:00
41.222899,-105.305208,2014-07-26 17:40:13+00:00
41.222909,-105.305171,2014-07-26 17:40:14+00:00
41.222922,-105.305137,2014-07-26 17:40:15+00:00
41.22294,-105.305106,2014-07-26 17:40:16+00:00
41.222961,-105.30508,2014-07-26 17:40:17+00:00
41.222983,-105.305058,2014-07-26 17:40:18+00:00
41.223008,-105.305037,2014-07-26 17:40:19+00:00
41.223038,-105.305018,2014-07-26 17:40:20+00:00
41.223074,-105.304992,2014-07-26 17:40:21+00:00
41.22311,-105.304956,2014-07-26 17:40:22+00:00
41.223153,-105.304884,2014-07-26 17:40:23+00:00
41.223176,-105.304848,2014-07-26 17:40:24+00:00
41.223202,-105.304818,2014-07-26 17:40:25+00:00
41.223227,-105.304796,2014-07-26 17:40:26+00:00
41.223237,-105.304757,2014-07-26 17:40:27+00:00
41.223262,-105.30473,2014-07-26 17:40:28+00:00
41.223283,-105.304695,2014-07-26 17:40:29+00:00
41.223297,-105.304663,2014-07-26 17:40:30+00:00
41.223318,-105.304631,2014-07-26 17:40:31+00:00
41.223361,-105.304584,2014-07-26 17:40:33+00:00
41.223383,-105.304556,2014-07-26 17:40:34+00:00
41.223409,-105.304529,2014-07-26 17:40:35+00:00
41.22344,-105.304505,2014-07-26 17:40:36+00:00
41.223471,-105.304488,2014-07-26 17:40:37+00:00
41.223502,-105.304475,2014-07-26 17:40:38+00:00
41.223529,-105.30446,2014-07-26 17:40:39+00:00
41.223551,-105.304434,2014-07-26 17:40:40+00:00
41.223568,-105.304403,2014-07-26 17:40:41+00:00
41.223585,-105.304372,2014-07-26 17:40:42+00:00
41.223604,-105.304342,2014-07-26 17:40:43+00:00
41.223625,-105.304312,2014-07-26 17:40:44+00:00
41.223648,-105.304283,2014-07-26 17:40:45+00:00
41.223674,-105.304265,2014-07-26 17:40:46+00:00
41.223715,-105.304262,2014-07-26 17:40:48+00:00
41.223734,-105.304289,2014-07-26 17:40:50+00:00
41.223761,-105.304289,2014-07-26 17:40:54+00:00
41.2238,-105.304298,2014-07-26 17:40:57+00:00
41.223832,-105.3043,2014-07-26 17:40:59+00:00
41.22387,-105.304297,2014-07-26 17:41:01+00:00
41.223899,-105.304273,2014-07-26 17:41:03+00:00
41.223914,-105.304228,2014-07-26 17:41:05+00:00
41.223935,-105.304168,2014-07-26 17:41:07+00:00
41.223953,-105.304125,2014-07-26 17:41:08+00:00
41.223978,-105.30408,2014-07-26 17:41:09+00:00
41.224006,-105.304036,2014-07-26 17:41:10+00:00
41.224036,-105.303994,2014-07-26 17:41:11+00:00
41.224065,-105.303956,2014-07-26 17:41:12+00:00
41.224093,-105.303921,2014-07-26 17:41:13+00:00
41.224122,-105.303887,2014-07-26 17:41:14+00:00
41.22415,-105.303855,2014-07-26 17:41:15+00:00
41.224177,-105.303824,2014-07-26 17:41:16+00:00
41.224203,-105.303796,2014-07-26 17:41:17+00:00
41.224226,-105.303768,2014-07-26 17:41:18+00:00
41.224247,-105.303739,2014-07-26 17:41:19+00:00
41.224267,-105.303709,2014-07-26 17:41:20+00:00
41.224301,-105.303653,2014-07-26 17:41:22+00:00
41.224343,-105.303611,2014-07-26 17:41:24+00:00
41.224367,-105.303593,2014-07-26 17:41:25+00:00
41.224394,-105.303578,2014-07-26 17:41:26+00:00
41.224421,-105.303556,2014-07-26 17:41:27+00:00
41.224454,-105.303525,2014-07-26 17:41:28+00:00
41.22451,-105.30347,2014-07-26 17:41:29+00:00
41.22456,-105.30343,2014-07-26 17:41:30+00:00
41.224602,-105.30339,2014-07-26 17:41:31+00:00
41.22464,-105.30334,2014-07-26 17:41:32+00:00
41.224676,-105.303301,2014-07-26 17:41:33+00:00
41.224705,-105.30326,2014-07-26 17:41:34+00:00
41.224727,-105.303228,2014-07-26 17:41:35+00:00
41.224757,-105.303199,2014-07-26 17:41:36+00:00
41.224789,-105.303169,2014-07-26 17:41:38+00:00
41.224817,-105.303133,2014-07-26 17:41:39+00:00
41.224841,-105.303104,2014-07-26 17:41:40+00:00
41.224872,-105.303074,2014-07-26 17:41:41+00:00
41.224912,-105.303027,2014-07-26 17:41:43+00:00
41.224932,-105.302998,2014-07-26 17:41:44+00:00
41.224952,-105.30297,2014-07-26 17:41:45+00:00
